stage,match_date,hometeam,awayteam,home_prob,draw_prob,away_prob,scrape_datetime,url,league_code
NA,NA,NA,NA,NA,NA,NA,2017-06-16 07:46:22,https://projects.fivethirtyeight.com/soccer-predictions/,E0
NA,NA,NA,NA,NA,NA,NA,2017-06-16 07:46:25,https://projects.fivethirtyeight.com/soccer-predictions/la-liga/,SP1
NA,NA,NA,NA,NA,NA,NA,2017-06-16 07:46:29,https://projects.fivethirtyeight.com/soccer-predictions/bundesliga/,D1
NA,NA,NA,NA,NA,NA,NA,2017-06-16 07:46:33,https://projects.fivethirtyeight.com/soccer-predictions/serie-a/,I1
NA,NA,NA,NA,NA,NA,NA,2017-06-16 07:46:36,https://projects.fivethirtyeight.com/soccer-predictions/ligue-1/,F1
NA,NA,NA,NA,NA,NA,NA,2017-06-16 07:46:39,https://projects.fivethirtyeight.com/soccer-predictions/champions-league/,CL1
June,6/17,NYCFC,Seattle,0.51,0.25,0.24,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
June,6/17,Atlanta,Columbus,0.51,0.25,0.24,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
June,6/17,New England,Chicago,0.51,0.25,0.24,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
June,6/17,Orlando City,Montreal,0.46,0.26,0.29,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
June,6/17,Toronto FC,D.C. United,0.54,0.25,0.21,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
June,6/17,San Jose,Sporting KC,0.36,0.3,0.34,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
June,6/17,Colorado,Portland,0.42,0.28,0.3,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
June,6/17,Real Salt Lake,Minnesota,0.48,0.25,0.27,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
June,6/17,Vancouver,FC Dallas,0.44,0.27,0.29,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
June,6/17,LA Galaxy,Houston,0.51,0.26,0.23,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
June,6/18,Philadelphia,NY Red Bulls,0.46,0.26,0.27,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
June,6/21,D.C. United,Atlanta,0.45,0.26,0.29,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
June,6/21,Minnesota,Portland,0.39,0.26,0.36,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
June,6/21,Colorado,LA Galaxy,0.41,0.29,0.3,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
June,6/21,Seattle,Orlando City,0.54,0.25,0.21,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
June,6/23,Toronto FC,New England,0.53,0.24,0.22,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
June,6/23,Houston,FC Dallas,0.46,0.27,0.27,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
June,6/24,NY Red Bulls,NYCFC,0.48,0.25,0.27,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
June,6/24,Philadelphia,D.C. United,0.52,0.25,0.22,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
June,6/24,Atlanta,Colorado,0.53,0.27,0.21,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
June,6/24,Columbus,Montreal,0.49,0.25,0.27,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
June,6/24,Minnesota,Vancouver,0.43,0.26,0.31,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
June,6/24,Chicago,Orlando City,0.54,0.25,0.22,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
June,6/24,LA Galaxy,Sporting KC,0.46,0.28,0.27,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
June,6/24,San Jose,Real Salt Lake,0.52,0.26,0.22,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
June,6/25,Portland,Seattle,0.49,0.26,0.25,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
June,6/29,NYCFC,Minnesota,0.54,0.23,0.22,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,6/30,Real Salt Lake,Orlando City,0.44,0.26,0.29,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/1,Sporting KC,Portland,0.53,0.26,0.21,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/1,Chicago,Vancouver,0.52,0.25,0.23,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/1,FC Dallas,Toronto FC,0.45,0.27,0.28,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/1,Montreal,D.C. United,0.53,0.25,0.22,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/1,Columbus,Atlanta,0.49,0.25,0.26,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/1,Colorado,Houston,0.44,0.28,0.28,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/1,San Jose,LA Galaxy,0.41,0.28,0.31,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/2,Philadelphia,New England,0.45,0.26,0.29,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/4,Minnesota,Columbus,0.43,0.25,0.32,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/4,Atlanta,San Jose,0.53,0.26,0.21,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/4,FC Dallas,D.C. United,0.54,0.25,0.2,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/4,Colorado,Seattle,0.41,0.29,0.3,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/4,LA Galaxy,Real Salt Lake,0.54,0.25,0.21,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/5,New England,NY Red Bulls,0.51,0.25,0.24,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/5,Orlando City,Toronto FC,0.32,0.26,0.41,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/5,Houston,Montreal,0.5,0.25,0.25,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/5,Vancouver,NYCFC,0.44,0.26,0.3,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/5,Portland,Chicago,0.49,0.25,0.25,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/6,Sporting KC,Philadelphia,0.54,0.26,0.2,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/19,NY Red Bulls,San Jose,0.54,0.26,0.2,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/19,Montreal,Philadelphia,0.51,0.25,0.24,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/19,NYCFC,Toronto FC,0.45,0.25,0.3,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/19,Minnesota,Houston,0.41,0.26,0.33,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/19,LA Galaxy,Vancouver,0.52,0.25,0.22,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/19,Seattle,D.C. United,0.54,0.25,0.21,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
July,7/19,Portland,Real Salt Lake,0.54,0.24,0.21,2017-06-16 07:47:35,https://projects.fivethirtyeight.com/soccer-predictions/mls/,MLS
