stage,match_date,hometeam,awayteam,home_prob,draw_prob,away_prob,scrape_datetime,url,league_code,league_string,region,competition
NA,NA,NA,NA,NA,NA,NA,2017-08-17 17:10:50,https://projects.fivethirtyeight.com/soccer-predictions/champions-league/,champions-league,Champions League,Europe,Champions League
August,8/19,Rapid Vienna,Sturm Graz,0.48,0.24,0.28,2017-08-17 17:11:40,https://projects.fivethirtyeight.com/soccer-predictions/bundesliga-austria/,bundesliga-austria,Austria: Bundesliga,Austria,Bundesliga
August,8/19,Wolfsberger AC,Admira,0.44,0.28,0.29,2017-08-17 17:11:40,https://projects.fivethirtyeight.com/soccer-predictions/bundesliga-austria/,bundesliga-austria,Austria: Bundesliga,Austria,Bundesliga
August,8/20,LASK Linz,Rheindorf Altach,0.38,0.29,0.33,2017-08-17 17:11:40,https://projects.fivethirtyeight.com/soccer-predictions/bundesliga-austria/,bundesliga-austria,Austria: Bundesliga,Austria,Bundesliga
August,8/20,RB Salzburg,St. Pölten,0.84,0.12,0.04,2017-08-17 17:11:40,https://projects.fivethirtyeight.com/soccer-predictions/bundesliga-austria/,bundesliga-austria,Austria: Bundesliga,Austria,Bundesliga
August,8/20,Mattersburg,Austria Vienna,0.35,0.26,0.39,2017-08-17 17:11:40,https://projects.fivethirtyeight.com/soccer-predictions/bundesliga-austria/,bundesliga-austria,Austria: Bundesliga,Austria,Bundesliga
August,8/26,Wolfsberger AC,St. Pölten,0.48,0.28,0.24,2017-08-17 17:11:40,https://projects.fivethirtyeight.com/soccer-predictions/bundesliga-austria/,bundesliga-austria,Austria: Bundesliga,Austria,Bundesliga
August,8/26,Rapid Vienna,LASK Linz,0.67,0.2,0.12,2017-08-17 17:11:40,https://projects.fivethirtyeight.com/soccer-predictions/bundesliga-austria/,bundesliga-austria,Austria: Bundesliga,Austria,Bundesliga
August,8/27,Sturm Graz,RB Salzburg,0.26,0.25,0.49,2017-08-17 17:11:40,https://projects.fivethirtyeight.com/soccer-predictions/bundesliga-austria/,bundesliga-austria,Austria: Bundesliga,Austria,Bundesliga
August,8/27,Rheindorf Altach,Mattersburg,0.43,0.29,0.28,2017-08-17 17:11:40,https://projects.fivethirtyeight.com/soccer-predictions/bundesliga-austria/,bundesliga-austria,Austria: Bundesliga,Austria,Bundesliga
